9820;QL++F+tMmuF/DMhvcp2RJQ==;81903.76318
7676;WTWTqyqkePi89ovvJrqSCw==;81905.77637
3760;bBC2MVcXFjJB5c0kzVCmlg==;81907.78661
6862;C1uKuK0/K2tm4e08QQxJPw==;81909.81410
1991;nGySto+PA0o9Iw4oVlRa1g==;81911.82583
1292;wwRR2whn7ZKIakek0fbEYA==;81913.83587
7838;xtArwfd3/JoRxVYagQ5yUA==;81915.85193
5907;HnwGEEBOneLH6jHN0l8F/w==;81917.87465
8802;6M4j7n/4pcVxDjkd0Gzlqg==;81919.89424
3668;T25NG277Pyej6yDai+xugg==;81921.92076
9592;7biwaXzgXZZMry1a/WvEXA==;81923.93302
4852;yrJ11dXvN8DMIfOjNOhtJg==;81925.95552
4572;rPe6kA6M7aACUgBX5vWc/w==;81927.97571
6526;jJTvcOLV52weh2AnUCqnuw==;81929.98848
1179;PziW0SfAWqa2sg5/6FgxAA==;81932.00723
8120;ABc8OfUUxKlUPKxAvseM8w==;81934.02211
6339;C3n0RT0cfUSTvRbIF76mmg==;81936.04418
3570;1BBim/1by1eXUi3uR3aS2A==;81938.06265
2008;7Fd0R0Bfy8HJYnc0PxcCNA==;81940.08349
5062;4vRn4mvxgwbql6s/8g/pcQ==;81942.09451
6299;punbEdnYxGpVeHu2zmoCqA==;81967.66126
1717;HrTK7ZekhbIYUXh+RNoOZg==;81969.68072
8818;Aw/dQ/03iGFYxL9UTadooA==;81971.68820
5556;RqcgQ0pQu0/UJ0zkUbDcwQ==;81973.69432
6515;kxJohg4nX26RTlKNctKrpA==;81975.71809
1276;niCGpZwDMwghNxOI15ONlg==;81977.73040
8425;3166rvg2uX5vYQJyA377EA==;81979.75342
4574;bEXPQYRsrpWqmaQoMZPlPA==;81981.77132
6619;eUqEvQjwsWhgbZsvQ/L+CA==;81983.78520
4603;MfU8gZNf8Ysp9eHtKcBnAg==;81985.80182
4657;3FgtmPOzhM05Dp7Mn9N6Cg==;81987.81367
4069;+Uzxddt/JfRXqrC3I8X34Q==;81989.82437
9468;FmVnijyRrhWZ9OVHjWXNPg==;81991.85172
6819;bKs9Bog82PNOzQFdBuVhtQ==;81993.88118
3578;ausGlU4Gmj5uwQPslGqKdA==;81995.90853
7016;zYWvBW/jTP2bWpf+BHk+tA==;81997.91779
9744;CfUMGHUQBwW8lGTk0Rdpaw==;81999.93334
4982;xq7ApgcrmraAnAzA4OV4PA==;82001.95026
7391;QT+z3qa/RZDHcUWWTXg5wQ==;82003.97601
8281;8xXmhO2KsqkBqoitAl0Vgw==;82006.00164
4946;I9x4SDoFhlw+REBoetmUmA==;82018.22038
6661;jwabPRNNAWkY+3b/VQ2jtA==;82020.23259
1449;NTMwJ9wLLKjBQNOzaj3AWA==;82022.25360
1272;LuCi7rFYMAHAcmuFUJbLVw==;82024.26260
8207;qRx3wYtb8EjW2pNAOWJIfA==;82026.28239
9839;OFIz4dJhFrXSY9ZdGK1tmw==;82028.29911
6783;RlC6zTQ7M4U9VSqLUevQmA==;82030.32542
7317;IKLsQAwEaPSCcGrunJJZ/Q==;82032.33049
